review_id,entity_id,date,time,customer_review,experience_driver_not_normalised,entity_name,theme,context,feedback_type,emotion,customer_journey,customer_journey_stage,interaction_moment,opportunity_stream,customer_effort_score,ou_name,keywords,semantic_action_statement,matters,stream_justification,behavioral_impact,emotion_primary,emotion_specific,canonical_theme,canonical_category,canonical_subcategory,experience_driver,theme_match_score,category_match_score,subcategory_match_score
10,10.1,2025-05-19,10:07:38,Products available online are not available on store when physically visited.,Product Availability → Online vs. In-Store Consistency,Online and Physical Store Inventory,Inventory Consistency,Customer found discrepancies between online product availability and in-store stock.,Complaint,Agitation – Frustrated,In-Store Experience,Product Search & Discovery,when attempting to purchase items seen online,Fix,6,Online and Physical Store Inventory – Complaint – Fix,"['online availability', 'in-store stock', 'discrepancy', 'inventory consistency']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about finding discrepancies between online product availability and in-store stock when attempting to purchase items seen online

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Product Availability → Online vs. In-Store Consistency to address inconsistent inventory listings that mislead customers about product availability",inconsistent inventory listings that mislead customers about product availability,"This inconsistency creates a trust gap and disrupts the shopping experience, necessitating a fix to align online and in-store inventory data.","Restore trust in inventory accuracy, reduce customer frustration, and improve cross-channel shopping reliability.",Agitation,Frustrated,Inventory Consistency,Product Availability,Online vs In-Store Discrepancy,Product Availability → Online vs In-Store Discrepancy,100,100,100
11,11.1,2025-07-02,10:07:38,Mera order b do din late aya jab k order Wednesday ko kia nd received Friday ko hua 😤,Delivery Experience → Timing,Order Delivery,Delivery & Fulfillment,"Customer's order was delayed by two days, ordered on Wednesday and received on Friday.",Complaint,Anger – Frustrated,Delivery & Fulfillment,Delivery Completion,when the order was received two days late,Fix,6,Order Delivery – Complaint – Fix,"['late delivery', 'two days delay', 'order timing', 'frustration']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about their order being delayed by two days, ordered on Wednesday and received on Friday

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Delivery Experience → Timing to address two-day delivery delays that disrupt customer expectations and plans",two-day delivery delays that disrupt customer expectations and plans,"The delay in delivery timing directly impacts customer satisfaction and reliability perception, necessitating immediate resolution to restore trust.","Improve delivery reliability, reduce customer frustration, and enhance trust in delivery commitments.",Anger,Frustrated,Delivery & Fulfillment,Delivery Experience,Timing,Delivery Experience → Timing,100,100,100
12,12.1,2025-05-23,10:07:38,"I was told by the delivery guy that for the items that were not delivered, I'll get the refund of money in my wallet. But it's been quite a long I haven't received my refund yet.",Order & Payment → Refund Processing,Wallet Refund,Payment Resolution,"Customer was promised a refund for undelivered items, but has not received it in their wallet after a significant delay.",Complaint,Agitation – Frustrated,Post-Purchase Resolution,Refund & Compensation,after being informed by the delivery person about the refund,Fix,6,Wallet Refund – Complaint – Fix,"['refund', 'wallet', 'undelivered items', 'delay', 'payment issue']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about not receiving a promised refund for undelivered items in their wallet after being informed by the delivery person

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Order & Payment → Refund Processing to address delayed wallet refunds for undelivered items that cause customer frustration",delayed wallet refunds for undelivered items that cause customer frustration,"The refund process is failing to meet promised timelines, directly impacting customer trust and satisfaction. Immediate resolution is required to restore confidence in payment reliability.","Reinstate trust in refund processes, reduce customer anxiety over financial discrepancies, and ensure timely compensation for service failures.",Agitation,Frustrated,Payment Resolution,Order & Payment,Refund Processing,Order & Payment → Refund Processing,100,100,100
13,13.1,2025-06-24,10:07:38,"I ordered Veal meat online, I tried buying from metro store but veal was never available at the time I would visit. Although I ordered 15kgs and was told that the full weight is still not available but I am pleased that at least 13 kg was delivered and I appreciate the effort. Looking forward to ordering again. Kindly inform about the metro chef line ready to cook 'chicken bites' and 'chicken fillet' my kids love the taste and I like the price and weight of these products. For the past month or so I cannot find these in store.",Product Availability → Out-of-Stock Management,Veal Meat,Inventory Management,Customer was unable to find veal meat in-store but was satisfied with the partial fulfillment of their online order.,Compliment,Appreciation – Satisfied,Order Fulfillment,Delivery Completion,when receiving partial order fulfillment,Amplify,3,Veal Meat – Compliment – Amplify,"['veal meat', 'out of stock', 'partial fulfillment', 'online order', 'satisfaction']","SECTION 1: THE CUSTOMER REALITY
  The customer gave a Compliment about being satisfied with the partial fulfillment of their veal meat order when receiving the delivery

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Amplify → Product Availability → Out-of-Stock Management to address partial fulfillment of veal meat order that meets customer satisfaction despite initial unavailability",partial fulfillment of veal meat order that meets customer satisfaction despite initial unavailability,"The customer expressed satisfaction with the effort to fulfill their order despite stock limitations, indicating a positive experience worth reinforcing.","Reinforce customer trust in partial fulfillment processes, encourage repeat orders, and maintain satisfaction levels.",Appreciation,Satisfied,Inventory Management,Product Availability,Out-of-Stock Management,Product Availability → Out-of-Stock Management,100,100,100
13,13.2,2025-06-24,10:07:38,"I ordered Veal meat online, I tried buying from metro store but veal was never available at the time I would visit. Although I ordered 15kgs and was told that the full weight is still not available but I am pleased that at least 13 kg was delivered and I appreciate the effort. Looking forward to ordering again. Kindly inform about the metro chef line ready to cook 'chicken bites' and 'chicken fillet' my kids love the taste and I like the price and weight of these products. For the past month or so I cannot find these in store.",Product Availability → Out-of-Stock Management,Metro Chef Line Chicken Bites and Chicken Fillet,Inventory Management,Customer is unable to find Metro Chef Line 'chicken bites' and 'chicken fillet' in-store for the past month.,Complaint,Agitation – Frustrated,In-Store Experience,Product Search,when searching for Metro Chef Line products in-store,Fix,5,Metro Chef Line Chicken Bites and Chicken Fillet – Complaint – Fix,"['chicken bites', 'chicken fillet', 'out of stock', 'Metro Chef Line', 'in-store availability']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about being unable to find Metro Chef Line 'chicken bites' and 'chicken fillet' in-store for the past month

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Product Availability → Out-of-Stock Management to address persistent unavailability of popular Metro Chef Line products that frustrates regular customers",persistent unavailability of popular Metro Chef Line products that frustrates regular customers,The ongoing unavailability of popular products is causing customer frustration and requires immediate resolution to restore product access and customer satisfaction.,"Improve product availability, reduce customer frustration, and enhance in-store shopping experience.",Agitation,Frustrated,Inventory Management,Product Availability,Out-of-Stock Management,Product Availability → Out-of-Stock Management,100,100,100
14,14.1,2025-07-05,10:07:38,"Order was received but delay of 15 days was a lot. Moreover, even helpline does not pick up the phone, that is pathetic.",Delivery Experience → Timing,Order Delivery,Delivery & Fulfillment,Customer experienced a 15-day delay in order delivery and was unable to reach support via helpline.,Complaint,Anger – Frustrated,Delivery & Fulfillment,Delivery Completion,when order was delayed by 15 days,Fix,7,Order Delivery – Complaint – Fix,"['delay', '15 days', 'helpline', 'unreachable', 'pathetic']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about experiencing a 15-day delay in order delivery and being unable to reach support via helpline

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Delivery Experience → Timing to address extended delivery delays and unresponsive support channels that heighten customer frustration",extended delivery delays and unresponsive support channels that heighten customer frustration,"The significant delay and lack of support access represent a critical breakdown in service reliability, necessitating immediate corrective action to restore trust and operational efficiency.","Reduce delivery lead times, ensure support accessibility, and prevent future customer dissatisfaction.",Anger,Frustrated,Delivery & Fulfillment,Delivery Experience,Timing,Delivery Experience → Timing,100,100,100
15,15.1,2025-07-06,10:07:38,Order should be delivered within time slot and once confirmed items shouldn't be out of stock.,Delivery Experience → Timing,Scheduled Delivery Slot,Delivery & Fulfillment,Customer expects delivery within the confirmed time slot and availability of all confirmed items.,Request,Agitation – Frustrated,Delivery & Fulfillment,Delivery Scheduling & Confirmation,during delivery scheduling and item confirmation,Fix,6,Scheduled Delivery Slot – Request – Fix,"['delivery timing', 'scheduled slot', 'out of stock', 'confirmed items']","SECTION 1: THE CUSTOMER REALITY
  The customer made a Request for delivery to occur within the confirmed time slot and for all confirmed items to be available during delivery scheduling and item confirmation

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Delivery Experience → Timing to address failure to adhere to scheduled delivery times and ensure item availability",failure to adhere to scheduled delivery times and ensure item availability,"This request highlights a critical expectation for reliability in delivery timing and inventory accuracy, which are fundamental to customer satisfaction and trust.","Improve delivery reliability, ensure inventory accuracy, and enhance customer trust in service commitments.",Agitation,Frustrated,Delivery & Fulfillment,Delivery Experience,Timing,Delivery Experience → Timing,100,100,100
16,16.1,2025-07-09,10:07:38,I have complain about Meat. Very very low quality meat delivered. Very much disappointed.,Product Quality → Product Condition,Meat,Product & Selection,Customer received low-quality meat and expressed disappointment.,Complaint,Agitation – Disappointed,Delivery & Fulfillment,Order Receipt,upon delivery of meat,Fix,6,Meat – Complaint – Fix,"['low quality', 'meat', 'disappointed', 'delivered']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint that upon delivery of meat, they found it to be of very low quality, leading to disappointment

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Product Quality → Product Condition to address low-quality meat deliveries that cause customer dissatisfaction",low-quality meat deliveries that cause customer dissatisfaction,"The quality of the delivered meat did not meet customer expectations, leading to dissatisfaction. Immediate action is required to ensure product quality standards are met.","Improve product quality control, enhance customer satisfaction, and reduce negative delivery experiences.",Agitation,Disappointed,Product & Selection,Product Quality,Product Condition,Product Quality → Product Condition,100,100,100
17,17.1,2025-05-23,10:07:38,Har chez achi or original ha or expairy date b kafi ha but ap ki application slow boht zada ya ruk ruk k chalti ha and ap discount voucher b dia krain,Mobile App → Performance Stability,Grocery App,Technical Reliability,Customer experiences significant lag and interruptions while using the app.,Complaint,Agitation – Frustrated,Digital Engagement,App Usage,while using the app,Fix,6,Grocery App – Complaint – Fix,"['slow', 'lag', 'app performance', 'interruption']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about experiencing significant lag and interruptions while using the app

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Mobile App → Performance Stability to address app performance issues that cause slow and interrupted usage",app performance issues that cause slow and interrupted usage,"The app's performance issues are causing significant user frustration and hindering the digital shopping experience, necessitating immediate technical resolution.","Improve app reliability, enhance user satisfaction, and reduce friction in digital engagement.",Agitation,Frustrated,Technical Reliability,Mobile App,Performance Stability,Mobile App → Performance Stability,100,100,100
17,17.2,2025-05-23,10:07:38,Har chez achi or original ha or expairy date b kafi ha but ap ki application slow boht zada ya ruk ruk k chalti ha and ap discount voucher b dia krain,Promotions & Discounts → Voucher Availability,Discount Vouchers,Customer Incentives,Customer requests the availability of discount vouchers.,Request,Appreciation – Interested,Digital Engagement,App Usage,while considering purchase incentives,Innovate,3,Discount Vouchers – Request – Innovate,"['discount', 'voucher', 'availability', 'request']","SECTION 1: THE CUSTOMER REALITY
  The customer made a Request for the availability of discount vouchers while considering purchase incentives

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Innovate → Promotions & Discounts → Voucher Availability to address lack of discount vouchers that could enhance purchase incentives",lack of discount vouchers that could enhance purchase incentives,The request for discount vouchers indicates a potential area for enhancing customer engagement and incentivizing purchases through promotional offers.,"Increase customer engagement, drive sales through incentives, and enhance the value proposition of the app.",Appreciation,Interested,Customer Incentives,Promotions & Discounts,Voucher Availability,Promotions & Discounts → Voucher Availability,100,100,100
18,18.1,2025-06-15,10:07:38,Kindly add more vouchers for online orders as I like to order full month grocery from metro and my bills are likely to be more than 10k. So please add more vouchers like for 10k purchase above. Just 300 voucher is not sufficient.,Promotions & Discounts → Voucher Value,10k Purchase Voucher,Order & Payment,Customer requests higher-value vouchers for large monthly grocery orders exceeding 10k.,Request,Appreciation – Interested,Digital Engagement,Order Placement,while planning a large monthly grocery order,Innovate,4,10k Purchase Voucher – Request – Innovate,"['vouchers', 'online orders', '10k purchase', 'insufficient value']","SECTION 1: THE CUSTOMER REALITY
  The customer made a Request for higher-value vouchers while planning a large monthly grocery order exceeding 10k

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Innovate → Promotions & Discounts → Voucher Value to address insufficient voucher value for high-spend customers seeking greater savings",insufficient voucher value for high-spend customers seeking greater savings,"The customer is expressing a need for more substantial savings on large purchases, indicating an opportunity to enhance customer loyalty and increase order value through improved voucher offerings.","Encourage higher spending thresholds, increase customer satisfaction, and strengthen loyalty through enhanced promotional strategies.",Appreciation,Interested,Order & Payment,Promotions & Discounts,Voucher Value,Promotions & Discounts → Voucher Value,100,100,100
19,19.1,2025-05-26,10:07:38,میں نے جو آڈر کیا تھا اس کے آنے کا وقت دوپہر 1 بجے سے 4 بجے تک بتایا گیا۔ مگر وہ مجھے شام 6:30 بجے ملا۔ انتہائ کوفت کا شکار ہوئ میں۔,Delivery Experience → Timing,Scheduled Delivery,Delivery & Fulfillment,Customer received their order at 6:30 PM despite being promised delivery between 1 PM and 4 PM.,Complaint,Agitation – Frustrated,Delivery & Fulfillment,Delivery Completion,when the order was delivered late,Fix,6,Scheduled Delivery – Complaint – Fix,"['late delivery', 'timing issue', 'frustration', 'scheduled delivery']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint that their order was delivered at 6:30 PM, despite being promised between 1 PM and 4 PM

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Delivery Experience → Timing to address late deliveries that breach promised time slots and cause customer frustration",late deliveries that breach promised time slots and cause customer frustration,"The delivery was significantly delayed beyond the promised window, causing customer dissatisfaction and undermining trust in delivery reliability.","Restore trust in delivery timing, reduce customer frustration, and improve adherence to scheduled delivery windows.",Agitation,Frustrated,Delivery & Fulfillment,Delivery Experience,Timing,Delivery Experience → Timing,100,100,100
20,20.1,2025-05-18,10:07:38,In my last order the cheese I had ordered was replaced by a different cheese but I was charged for the same product that I had originally ordered.,Order Accuracy → Substitution & Pricing,Cheese Substitution,Order Fulfillment Integrity,Customer received a different cheese than ordered but was charged for the original product.,Complaint,Agitation – Frustrated,Delivery & Fulfillment,Order Completion & Billing,upon receiving the order and checking the invoice,Fix,6,Cheese Substitution – Complaint – Fix,"['substitution', 'incorrect charge', 'cheese', 'order fulfillment']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about receiving a different cheese than ordered and being charged for the original product upon receiving the order and checking the invoice

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Order Accuracy → Substitution & Pricing to address incorrect product substitutions that lead to billing discrepancies",incorrect product substitutions that lead to billing discrepancies,"This is a direct failure in order fulfillment and billing accuracy, causing customer frustration and potential trust erosion. Immediate resolution is required to restore confidence in order integrity.","Ensure accurate substitutions and billing, reduce customer dissatisfaction, and maintain trust in order fulfillment processes.",Agitation,Frustrated,Order Fulfillment,Order Accuracy,Substitution & Pricing,Order Accuracy → Substitution & Pricing,100,100,100
21,21.1,2025-06-21,10:07:38,Just add options on meat mince like chopped thick and chopped thin.,Customization Options → Product Customization,Meat Mince,Product Personalization,Customer suggests adding customization options for meat mince thickness.,Suggestion,Appreciation – Interested,Product Selection,Customization Options,while selecting meat mince,Innovate,3,Meat Mince – Suggestion – Innovate,"['customization', 'meat mince', 'chopped thick', 'chopped thin']","SECTION 1: THE CUSTOMER REALITY
  The customer made a Suggestion that while selecting meat mince, they wanted options for thickness customization

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Innovate → Customization Options → Product Customization to address the need for thickness customization options that enhance product personalization",thickness customization options that enhance product personalization,"This suggestion reflects a desire for enhanced product personalization, indicating an opportunity to innovate by offering customizable options.","Increase customer satisfaction by offering personalized product options, potentially boosting sales and customer loyalty.",Appreciation,Interested,Product Personalization,Customization Options,Product Customization,Customization Options → Product Customization,100,100,100
